"cd_procedimento";"ano_realizacao";"n_procedimento";"custo_procedimento"
"20202024";"2023";725.00;45988.20
"20202024";"2024";628.00;44669.92
"20202032";"2023";2.00;119.58
"20202032";"2024";1.00;1200.00
"20203012";"2023";18276.00;214631.21
"20203012";"2024";11206.00;104751.15
"20203020";"2023";29353.00;1229339.24
"20203020";"2024";21909.00;884766.59
"20203047";"2023";186735.00;4122267.55
"20203047";"2024";165223.00;3137474.68
"20203063";"2023";61.00;690.80
"20203063";"2024";5.00;206.30
"20203071";"2023";64.00;3862.80
"20204027";"2023";28.00;3183.93
"20204027";"2024";2.00;159.87
"20204035";"2023";7.00;786.16
"20204035";"2024";3.00;314.11
"20204043";"2023";6.00;724.45
"20204159";"2023";222.00;290421.60
"20204159";"2024";32.00;7960.92
"20204167";"2023";23.00;5026.53
"20204167";"2024";15.00;3668.64
"20204175";"2023";175.00;11304.96
"20204175";"2024";18.00;466.27
"20204183";"2024";1.00;122.27
"30101018";"2023";149.00;21388.39
"30101018";"2024";60.00;7169.31
"30101050";"2023";33.00;8586.34
"30101050";"2024";13.00;5217.31
"30101077";"2023";12429.50;987630.98
"30101077";"2024";7068.00;608636.69
"30101085";"2023";129.00;8561.50
"30101085";"2024";67.00;5365.15
"30101093";"2023";1114.00;28501.74
"30101093";"2024";777.00;21699.12
"30101107";"2023";25758.40;1333031.30
"30101107";"2024";13605.00;638474.32
"30101123";"2023";97.00;216314.08
"30101123";"2024";8.00;30020.87
"30101204";"2023";24321.00;2988629.39
"30101204";"2024";14720.00;1567463.56
"30101212";"2023";2783.00;160796.52
"30101212";"2024";116.00;6139.38
"30101220";"2023";124.00;25859.53
"30101220";"2024";112.00;10178.85
"30101247";"2023";1249.50;126289.07
"30101247";"2024";405.00;38431.34
"30101255";"2023";5245.00;258947.61
"30101255";"2024";2729.00;131070.38
"30101263";"2023";287.00;72044.93
"30101263";"2024";477.00;113076.71
"30101280";"2023";2282.00;493747.94
"30101280";"2024";1213.00;230252.18
"30101298";"2023";102212.00;7547000.62
"30101298";"2024";68382.00;4864964.79
"30101352";"2023";8.00;344.45
"30101352";"2024";8.00;267.38
"30101387";"2023";1.00;50.00
"30101441";"2023";121.00;36318.55
"30101441";"2024";153.00;45009.04
"30101450";"2023";8812.50;2063097.02
"30101450";"2024";5051.00;1075123.32
"30101468";"2023";71112.00;11868244.62
"30101468";"2024";73341.01;11855824.48
"30101476";"2023";402.00;202172.67
"30101476";"2024";558.00;208753.54
"30101484";"2023";1688.80;115150.45
"30101484";"2024";1112.00;85775.47
"30101492";"2023";44724.00;5800420.02
"30101492";"2024";36967.00;4608794.78
"30101506";"2023";8706.00;652347.49
"30101506";"2024";5555.00;426124.33
"30101590";"2023";2529.00;374554.42
"30101590";"2024";1148.00;156617.35
"30101603";"2023";167.00;17443.72
"30101603";"2024";38.00;3509.54
"30101611";"2023";504.00;24281.53
"30101611";"2024";58.00;4244.31
"30101620";"2023";6305.00;438985.25
"30101620";"2024";3655.00;275669.34
"30101638";"2023";1151.00;125601.28
